accession	version	length	taxid	organism	species	genus	family	collection_date	country	isolate	strain	host	genotype	submitter	seq_tech
PV418933	PV418933.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2010		PAP133281		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV476205	PV476205.1	9187		Human pegivirus	Human pegivirus	Human		14-Apr-2024		Pegi-ITA-25		Homo sapiens		Vazzana,R., Mularoni,A., Vaiana,C., Cona,A., Mule',G., Amato,C., Ranucci,G., Conaldi,P.G., Agnese,V., Cuscino,N. and Gallo,A.	
OZ457534	OZ457534.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2025-11-05		hRSV/A/Ireland/un-NVRL-GIRL00082122/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457504	OZ457504.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-09		hRSV/B/Ireland/un-NVRL-GIRL00005473/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457462	OZ457462.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2025-12-30		hRSV/B/Ireland/un-NVRL-GIRL00000591/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457493	OZ457493.1	15232		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-29		hRSV/A/Ireland/un-NVRL-GIRL00002782/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457468	OZ457468.1	15206		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-03		hRSV/B/Ireland/un-NVRL-GIRL00008194/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457520	OZ457520.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-02-10		hRSV/B/Ireland/un-NVRL-GIRL00012969/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457471	OZ457471.1	15177		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-05		hRSV/B/Ireland/un-NVRL-GIRL00001658/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457473	OZ457473.1	15218		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-29		hRSV/A/Ireland/un-NVRL-GIRL00010378/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457523	OZ457523.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-27		hRSV/A/Ireland/un-NVRL-GIRL00011301/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457528	OZ457528.1	14853		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-04		hRSV/A/Ireland/un-NVRL-GIRL00091939/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457459	OZ457459.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-09		hRSV/B/Ireland/un-NVRL-GIRL00005497/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457476	OZ457476.1	15224		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-02		hRSV/A/Ireland/un-NVRL-GIRL00008169/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457487	OZ457487.1	15224		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-13		hRSV/A/Ireland/un-NVRL-GIRL00094196/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457505	OZ457505.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-09		hRSV/B/Ireland/un-NVRL-GIRL00005480/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457475	OZ457475.1	15211		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-02		hRSV/B/Ireland/un-NVRL-GIRL00008192/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457535	OZ457535.1	15216		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-11		hRSV/A/Ireland/un-NVRL-GIRL00093983/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457478	OZ457478.1	15224		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-22		hRSV/A/Ireland/un-NVRL-GIRL00009481/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457472	OZ457472.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-20		hRSV/A/Ireland/un-NVRL-GIRL00009896/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457482	OZ457482.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2025-12-01		hRSV/B/Ireland/un-NVRL-GIRL00090511/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457467	OZ457467.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-22		hRSV/A/Ireland/un-NVRL-GIRL00009482/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457500	OZ457500.1	15227		Human respiratory syncytial virus A	Human respiratory	Human		2026-02-27		hRSV/A/Ireland/un-NVRL-GIRL00017223/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457453	OZ457453.1	15227		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-25		hRSV/A/Ireland/un-NVRL-GIRL00009907/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457477	OZ457477.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2025-12-06		hRSV/B/Ireland/un-NVRL-GIRL00090510/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457511	OZ457511.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-10		hRSV/A/Ireland/un-NVRL-GIRL00094227/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457501	OZ457501.1	15232		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-14		hRSV/A/Ireland/un-NVRL-GIRL00094189/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457522	OZ457522.1	15234		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-09		hRSV/A/Ireland/un-NVRL-GIRL00005489/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457460	OZ457460.1	14881		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-24		hRSV/A/Ireland/un-NVRL-GIRL00009902/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457510	OZ457510.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-02-09		hRSV/B/Ireland/un-NVRL-GIRL00012984/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457490	OZ457490.1	15022		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-23		hRSV/A/Ireland/un-NVRL-GIRL00008646/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457463	OZ457463.1	15217		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-30		hRSV/A/Ireland/un-NVRL-GIRL00011315/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457496	OZ457496.1	14841		Human respiratory syncytial virus A	Human respiratory	Human		2026-02-19		hRSV/A/Ireland/un-NVRL-GIRL00015505/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457469	OZ457469.1	15203		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-20		hRSV/B/Ireland/un-NVRL-GIRL00009897/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457479	OZ457479.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-02-16		hRSV/B/Ireland/un-NVRL-GIRL00014937/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457452	OZ457452.1	15207		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-14		hRSV/B/Ireland/un-NVRL-GIRL00009500/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457486	OZ457486.1	15207		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-22		hRSV/B/Ireland/un-NVRL-GIRL00009485/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457458	OZ457458.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-02-24		hRSV/B/Ireland/un-NVRL-GIRL00017220/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457532	OZ457532.1	15232		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-26		hRSV/A/Ireland/un-NVRL-GIRL00011299/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457536	OZ457536.1	15204		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-26		hRSV/B/Ireland/un-NVRL-GIRL00009541/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457527	OZ457527.1	15204		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-25		hRSV/B/Ireland/un-NVRL-GIRL00009906/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457506	OZ457506.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-02		hRSV/B/Ireland/un-NVRL-GIRL00004112/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457530	OZ457530.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-28		hRSV/A/Ireland/un-NVRL-GIRL00011306/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457509	OZ457509.1	15203		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-11		hRSV/A/Ireland/un-NVRL-GIRL00093988/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457518	OZ457518.1	15224		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-09		hRSV/A/Ireland/un-NVRL-GIRL00005491/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457514	OZ457514.1	13759		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-10		hRSV/A/Ireland/un-NVRL-GIRL00094225/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457492	OZ457492.1	15204		Human respiratory syncytial virus B	Human respiratory	Human		2025-12-10		hRSV/B/Ireland/un-NVRL-GIRL00095210/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457484	OZ457484.1	13852		Human respiratory syncytial virus A	Human respiratory	Human		2026-01-29		hRSV/A/Ireland/un-NVRL-GIRL00010379/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457526	OZ457526.1	15214		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-27		hRSV/B/Ireland/un-NVRL-GIRL00011303/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457466	OZ457466.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-08		hRSV/B/Ireland/un-NVRL-GIRL00008191/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457489	OZ457489.1	15205		Human respiratory syncytial virus B	Human respiratory	Human		2026-02-11		hRSV/B/Ireland/un-NVRL-GIRL00013435/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457470	OZ457470.1	15203		Human respiratory syncytial virus B	Human respiratory	Human		2025-12-22		hRSV/B/Ireland/un-NVRL-GIRL00001700/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457488	OZ457488.1	15207		Human respiratory syncytial virus B	Human respiratory	Human		2025-12-10		hRSV/B/Ireland/un-NVRL-GIRL00094228/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457537	OZ457537.1	15206		Human respiratory syncytial virus B	Human respiratory	Human		2025-11-07		hRSV/B/Ireland/un-NVRL-GIRL00082124/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457513	OZ457513.1	15206		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-11		hRSV/A/Ireland/un-NVRL-GIRL00093982/2025				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457512	OZ457512.1	15222		Human respiratory syncytial virus A	Human respiratory	Human		2025-12-30		hRSV/A/Ireland/un-NVRL-GIRL00005024/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457529	OZ457529.1	14252		Human respiratory syncytial virus B	Human respiratory	Human		2026-01-12		hRSV/B/Ireland/un-NVRL-GIRL00004527/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
OZ457498	OZ457498.1	15207		Human respiratory syncytial virus B	Human respiratory	Human		2026-02-12		hRSV/B/Ireland/un-NVRL-GIRL00014936/2026				Carr,M., Kenna,C., Morley,U., Crowley,A., Bennett,C., Banka,W., Fahey,L., Rice,A., Dean,J., Hare,D. and De Gascun,C.F.	
PZ244839	PZ244839.1	15331		Human respirovirus 3	Human respirovirus	Human		2023		23V-12036_250115002		Homo sapiens		Modiyinji,A.F., Cappy,P. and Njouom,R.	
PZ244837	PZ244837.1	15331		Human respirovirus 3	Human respirovirus	Human		2023		23V-11697_250113008		Homo sapiens		Modiyinji,A.F., Cappy,P. and Njouom,R.	
PZ244838	PZ244838.1	15331		Human respirovirus 3	Human respirovirus	Human		2023		23V-9024_250127001		Homo sapiens		Modiyinji,A.F., Cappy,P. and Njouom,R.	
PP700502	PP700502.1	11890		Lyssavirus rabies	Lyssavirus rabies	Lyssavirus		2023		human/Thailand/RB07/2023		Homo sapiens		Greninger,A.L., Sobolik,E.B., Chuapudee,D., Aramrungroj,P., Lukebua,A., Primsirikunawut,A., Kwanchum,K., Rojanawiwat,A., Roychoudhury,P. and Sereewit,J.	
PZ264127	PZ264127.1	15882		Measles virus genotype D8	Measles virus	Measles		2026		QLD_6497S_2026	MVs/Queensland.AUS/03.26[D8]	Homo sapiens	Patient travel in India; genotype: D8	Pyke,A.T., Wang,W., Hamshere,D., Carolyn,P., Hewitson,G. and Tickner,J.	
PZ235050	PZ235050.1	15894		Measles virus genotype D8	Measles virus	Measles		Mar-2025		MV2025-1047	MVs/Oklahoma.USA/Mar.25/1047	Homo sapiens	Distinct Sequence ID (DSId) 9171; genotype: D8	Guerra,J.P.	
PZ235052	PZ235052.1	15863		Measles virus genotype D8	Measles virus	Measles		Apr-2025		MV2025-1034	MVs/Tennessee.USA/Apr.25/1034	Homo sapiens	Distinct Sequence ID (DSId) 9171; genotype: D8	Guerra,J.P.	
PZ264128	PZ264128.1	15865		Measles virus genotype D8	Measles virus	Measles		2026		QLD_6501S_2026	MVs/Queensland.AUS/03.26[D8]	Homo sapiens	Patient travel in India; genotype: D8	Pyke,A.T., Wang,W., Hamshere,D., Carolyn,P., Hewitson,G. and Tickner,J.	
PZ180038	PZ180038.1	15785		Measles virus genotype D8	Measles virus	Measles		2026-02-18		DE-2026-0001		Homo sapiens	genotype: D8	Hoover,R., Greer,N., Toy,D., Scully,M., Hayward,N. and Conyers,A.	
PZ235048	PZ235048.1	15883		Measles virus genotype D8	Measles virus	Measles		Dec-2025		MV2025-1207	MVs/Michigan.USA/Dec.25/1207	Homo sapiens	Distinct Sequence ID (DSId) 10574; genotype: D8	Guerra,J.P.	
PZ235049	PZ235049.1	15879		Measles virus genotype D8	Measles virus	Measles		Apr-2025		MV2025-1525	MVs/Missouri.USA/Apr.25/1525	Homo sapiens	Distinct Sequence ID (DSId) 9171; genotype: D8	Guerra,J.P.	
PV424067	PV424067.1	197993		Monkeypox virus	Monkeypox virus	Monkeypox		2022-05-24		MPXV_NRL 4279/2022		Homo sapiens		Nagy,A., Abraham,A., Kakuk,B., Brigitta,Z., Prazsak,I., Kemenesi,G. and Boldogkoi,Z.	
LC868427	LC868427.1	7495		Norovirus GII	Norovirus GII	Norovirus		2024-12		Hu/GII.17[P17]/TKY241523/2024/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
LC868426	LC868426.1	7495		Norovirus GII	Norovirus GII	Norovirus		2024-12		Hu/GII.17[P17]/TKY241383/2024/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
LC868433	LC868433.1	7488		Norovirus GII	Norovirus GII	Norovirus		2025-03		Hu/GII.17[P17]/TKY242405/2025/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
LC868436	LC868436.1	7497		Norovirus GII	Norovirus GII	Norovirus		2025-03		Hu/GII.17[P17]/TKY242490/2025/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
LC868428	LC868428.1	7496		Norovirus GII	Norovirus GII	Norovirus		2024-12		Hu/GII.17[P17]/TKY241535/2024/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
LC868434	LC868434.1	7493		Norovirus GII	Norovirus GII	Norovirus		2025-03		Hu/GII.17[P17]/TKY242427/2025/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
LC868430	LC868430.1	7493		Norovirus GII	Norovirus GII	Norovirus		2025-02		Hu/GII.17[P17]/TKY242246/2025/JP		Homo sapiens		Asakura,H., Yokota,S., Iwasaki,N., Miseki,N., Isogai,M., Konishi,N., Miyake,H., Sadamasu,K. and Chiba,T.	
PQ619759	PQ619759.1	6818		Orthobunyavirus guaroaense	Orthobunyavirus guaroaense	Orthobunyavirus		16-Dec-2021		Cuzco_21_GROV		Homo sapiens		Fischer,C., Fruehauf,A., Inchauste,L., Cassiano,M.H.A., Ramirez,H.A., Barthelemy,K., Machicado,L.B., Bozza,F.A., Brites,C., Cabada,M.M., Sanchez,C.A.C., Rodriguez,A.C., de Lamballerie,X., de los Milagros Peralta Delgado,R., de Oliveira-Filho,E.F., Domenech de Celles,M., Franco-Munoz,C., Mendoza,M.P.G., Nogueira,M.G., Gelvez-Ramirez,R.-M., Gonzalez,M.G., Gotuzzo,E., Kramer-Schadt,S., Kuivanen,S., Laiton-Donato,K., Lozano-Parra,A., Malaga-Trillo,E., Alva,D.V.M., Misse,D., Moreira-Soto,A., Souza,T.M., Mozo,K., Netto,E.M., Olk,N., Diaz,J.M.P., Jorge,C.P., Astudillo,A.M.P., Piche-Ovares,M., Priet,S., Rincon-Orozco,B., Romero-Zuniga,J.J., Cisneros,S.P.S., Stoecker,A., Ugalde,J.C.V., Centeno,L.A.V., Wenzler-Meya,M., Zevallos,J.C. and Drexler,J.F.	
PQ619757	PQ619757.1	944		Orthobunyavirus guaroaense	Orthobunyavirus guaroaense	Orthobunyavirus		16-Dec-2021		Cuzco_21_GROV		Homo sapiens		Fischer,C., Fruehauf,A., Inchauste,L., Cassiano,M.H.A., Ramirez,H.A., Barthelemy,K., Machicado,L.B., Bozza,F.A., Brites,C., Cabada,M.M., Sanchez,C.A.C., Rodriguez,A.C., de Lamballerie,X., de los Milagros Peralta Delgado,R., de Oliveira-Filho,E.F., Domenech de Celles,M., Franco-Munoz,C., Mendoza,M.P.G., Nogueira,M.G., Gelvez-Ramirez,R.-M., Gonzalez,M.G., Gotuzzo,E., Kramer-Schadt,S., Kuivanen,S., Laiton-Donato,K., Lozano-Parra,A., Malaga-Trillo,E., Alva,D.V.M., Misse,D., Moreira-Soto,A., Souza,T.M., Mozo,K., Netto,E.M., Olk,N., Diaz,J.M.P., Jorge,C.P., Astudillo,A.M.P., Piche-Ovares,M., Priet,S., Rincon-Orozco,B., Romero-Zuniga,J.J., Cisneros,S.P.S., Stoecker,A., Ugalde,J.C.V., Centeno,L.A.V., Wenzler-Meya,M., Zevallos,J.C. and Drexler,J.F.	
PQ619756	PQ619756.1	750		Orthobunyavirus oropoucheense	Orthobunyavirus oropoucheense	Orthobunyavirus		19-Dec-2020		PERU_4643		Homo sapiens		Fischer,C., Fruehauf,A., Inchauste,L., Cassiano,M.H.A., Ramirez,H.A., Barthelemy,K., Machicado,L.B., Bozza,F.A., Brites,C., Cabada,M.M., Sanchez,C.A.C., Rodriguez,A.C., de Lamballerie,X., de los Milagros Peralta Delgado,R., de Oliveira-Filho,E.F., Domenech de Celles,M., Franco-Munoz,C., Mendoza,M.P.G., Nogueira,M.G., Gelvez-Ramirez,R.-M., Gonzalez,M.G., Gotuzzo,E., Kramer-Schadt,S., Kuivanen,S., Laiton-Donato,K., Lozano-Parra,A., Malaga-Trillo,E., Alva,D.V.M., Misse,D., Moreira-Soto,A., Souza,T.M., Mozo,K., Netto,E.M., Olk,N., Diaz,J.M.P., Jorge,C.P., Astudillo,A.M.P., Piche-Ovares,M., Priet,S., Rincon-Orozco,B., Romero-Zuniga,J.J., Cisneros,S.P.S., Stoecker,A., Ugalde,J.C.V., Centeno,L.A.V., Wenzler-Meya,M., Zevallos,J.C. and Drexler,J.F.	
PV534972	PV534972.1	7241		Paslahepevirus balayani	Paslahepevirus balayani	Paslahepevirus		Oct-2023		HRP01		Homo sapiens	subtype: 4d; genotype: Balayani 4	Chen,Z., Niu,W., Li,G., Fu,L., Zheng,Z. and Xia,N.	
LC778126	LC778126.1	9757		Rubella virus	Rubella virus	Rubella		2013-01-16		RVi/Tokyo.JPN03.13[2B]		Homo sapiens		Okamoto,K., Kadosawa,K., Suzuki,R., Aonuma,R., Tomioka,K., Yokono,K., Oba,K. and Mori,Y.	
LC778128	LC778128.1	9761		Rubella virus	Rubella virus	Rubella		2013-02-14		RVi/Tokyo.JPN07.13[2B]		Homo sapiens		Okamoto,K., Kadosawa,K., Suzuki,R., Aonuma,R., Tomioka,K., Yokono,K., Oba,K. and Mori,Y.	
LC778127	LC778127.1	9757		Rubella virus	Rubella virus	Rubella		2013-01-29		RVi/Tokyo.JPN04.13[2B]		Homo sapiens		Okamoto,K., Kadosawa,K., Suzuki,R., Aonuma,R., Tomioka,K., Yokono,K., Oba,K. and Mori,Y.	
LC778131	LC778131.1	9757		Rubella virus	Rubella virus	Rubella		2013-05-07		RVi/Tokyo.JPN18.13[2B]		Homo sapiens		Okamoto,K., Kadosawa,K., Suzuki,R., Aonuma,R., Tomioka,K., Yokono,K., Oba,K. and Mori,Y.	
